id,question,reference,prediction,exact_match,f1_score,precision,recall,bleu_score,semantic_similarity,generation_time,response_length,model,prompt_type,temperature
32,Что такое Королевские ботанические сады Кью?,Комплекс ботанических садов и оранжерей,"Королевские ботанические сады Кью - это комплекс ботанических садов и оранжерей в Лондоне, созданный в 1759 году.",0.0,0.47619047619047616,0.3125,1.0,0.12673718536830808,0.6042914986610413,2.5891895294189453,113,qwen2.5:1.5b,zero_shot,0.0
33,В каком году изобретатель Николя-Жозеф Кюньо продемонстрировал первое действующее самоходное паровое транспортное средство?,В 1769 году,1769 год,0.0,0.4,0.5,0.3333333333333333,0.30326532985631666,0.9925515651702881,2.336716413497925,8,qwen2.5:1.5b,zero_shot,0.0
34,В каком году Босния и Герцеговина вошла в состав Австро-Венгрии?,В 1878 году.,1878 год,0.0,0.4,0.5,0.3333333333333333,0.18393972058572114,0.9487539529800415,2.378481864929199,8,qwen2.5:1.5b,zero_shot,0.0
35,Какие языки можно отнести к слоговым?,китайский или вьетнамский,Китайский и вьетнамский.,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1597357760615681,0.9507915377616882,2.4247279167175293,24,qwen2.5:1.5b,zero_shot,0.0
36,Как простыми словами дать характеристику аутофагии?,самопоедание,"Аутофагия — процесс самопоедания клетки, при котором обмен веществ переключается на активный катаболизм и образуются аутофагосомы.",0.0,0.0,0.0,0.0,0.0,0.3289610743522644,2.586115837097168,130,qwen2.5:1.5b,zero_shot,0.0
37,Где всё чаще требуется понимание функций мозга?,"в психологической теории и практике, особенно в области искусственного интеллекта, нейропсихологии, и когнитивной нейробиологии.",В психологической теории и практике.,0.0,0.5263157894736842,1.0,0.35714285714285715,0.07271361304044333,0.6957201957702637,2.362661123275757,36,qwen2.5:1.5b,zero_shot,0.0
38,В каком году слово astronautique (с фр. — астронавтика ) появилось в книге Жозефа Рони-старшего Les Navigateurs de l’Infini (с фр. — Навигаторы бесконечности )?,В 1925,1925 году,0.0,0.5,0.5,0.5,0.49999999999999994,0.994666337966919,2.3684005737304688,9,qwen2.5:1.5b,zero_shot,0.0
39,В какие годы стали закрываться троллейбусные сети?,в 60-е годы,60-ые годы,0.0,0.4,0.5,0.3333333333333333,0.27534765745159184,0.9882791042327881,2.3531806468963623,10,qwen2.5:1.5b,zero_shot,0.0
40,В каких городах США получали права поддерживать порядок?,Панама и Колон,Панама и Колон.,1.0,1.0,1.0,1.0,0.5946035575013604,0.9865952730178833,2.5038998126983643,15,qwen2.5:1.5b,zero_shot,0.0
41,Какая в в Восточной среднегодовая температура ?,от -5 до 10 C,-5 до 10 C,0.0,0.888888888888889,1.0,0.8,0.7788007830714052,0.9813863039016724,2.351666212081909,10,qwen2.5:1.5b,zero_shot,0.0
42,В каком году бал АЛТ был перенесен на субботу?,В 1977,1977 год.,0.0,0.5,0.5,0.5,0.27516060407455223,0.9754126667976379,2.4198555946350098,9,qwen2.5:1.5b,zero_shot,0.0
43,Какая страна начала экспансию в Индии после войны 1756-1763 годов?,Британия,Британия,1.0,1.0,1.0,1.0,1.0000000000000004,0.9999999403953552,2.3113794326782227,8,qwen2.5:1.5b,zero_shot,0.0
44,"Какие химикалии добавляются к бюллетеням, чтобы дым был белым?","смесь бертолетовой соли, лактозы и канифоли","Смесь бертолетовой соли, лактозы и канифоли.",1.0,1.0,1.0,1.0,0.68037493331712,0.9865594506263733,2.4979822635650635,44,qwen2.5:1.5b,zero_shot,0.0
45,От чего не зависит или слабо зависит скорость накопления мутаций в данном гене?,от действия естественного отбора,От естественного отбора и его действия.,0.0,0.8,0.6666666666666666,1.0,0.14535768424205484,0.966009795665741,2.390624523162842,39,qwen2.5:1.5b,zero_shot,0.0
46,Что подразумевала музыкальная комедия?,Лёгкое развлекательное представление.,Музыкальное развлекательное представление с популярными вокальными номерами.,0.0,0.4,0.2857142857142857,0.6666666666666666,0.12223075560872525,0.5577431917190552,2.550398111343384,76,qwen2.5:1.5b,zero_shot,0.0
47,Что позволяет сделать вторая космическая скорость?,преодолеть гравитационное притяжение,Покрыть гравитационное притяжение.,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.31947155212313627,0.8778493404388428,2.37646222114563,34,qwen2.5:1.5b,zero_shot,0.0
48,Чем определены видовые характеристики менеджмента?,специфическими условиями конкретного производства,Специфическими условиями конкретного производства.,1.0,1.0,1.0,1.0,0.39763536438352537,0.9802097678184509,2.361220359802246,50,qwen2.5:1.5b,zero_shot,0.0
49,Тепловой двигатель (внутреннего или внешнего сгорания) питает его как?,через тяговый электрогенератор,Тяговый электрогенератор,0.0,0.8,1.0,0.6666666666666666,0.30326532985631666,0.9473302960395813,2.36537766456604,24,qwen2.5:1.5b,zero_shot,0.0
0,"Как называется воздушное судно, выполняющее полет без пилота на борту?",Беспилотное,Беспилотное воздушное судно,0.0,0.5,0.3333333333333333,1.0,0.27516060407455223,0.9197129011154175,12.31588077545166,27,gemma2:2b,zero_shot,0.0
1,Синтезом каких культур являлась богемская культура ?,"Немецкой, чешской и еврейской культур","Немецкая, чешская, еврейская.",0.0,0.0,0.0,0.0,0.08116697886877475,0.8684999346733093,2.504082679748535,29,gemma2:2b,zero_shot,0.0
2,Как меняется кожа у змей?,У змей кожа меняется одномоментно.,"Линька, одномоментно, слой за слоем.",0.0,0.20000000000000004,0.2,0.2,0.06567274736060397,0.28469568490982056,2.441136598587036,36,gemma2:2b,zero_shot,0.0
3,В каком году Бунин перешел к другому издателю?,1902,1902 год.,0.0,0.6666666666666666,0.5,1.0,0.27516060407455223,0.9591473340988159,2.377765655517578,9,gemma2:2b,zero_shot,0.0
4,С какой целью строились римские дороги?,увеличения скорости передвижения войск и торговых караванов,Для увеличения скорости передвижения.,0.0,0.5454545454545454,0.75,0.42857142857142855,0.266542955758963,0.629901647567749,2.5298917293548584,37,gemma2:2b,zero_shot,0.0
5,Какому инструменту верхний голос в группе медных духовых с этого времени всё чаще стал поручаться?,корнету,Корнету,1.0,1.0,1.0,1.0,0.0,0.859338641166687,2.3640754222869873,7,gemma2:2b,zero_shot,0.0
6,Где произошли события описанные в некоторых произведениях Агаты Кристи?,на Ближний Восток,"Ближний Восток, город Торки",0.0,0.5714285714285715,0.5,0.6666666666666666,0.21364350319811698,0.8933849334716797,2.4229888916015625,27,gemma2:2b,zero_shot,0.0
7,Для чего используют результаты экономического анализа?,прогнозирования и перспективного планирования экономических процессов,Для прогнозирования и планирования.,0.0,0.6,0.75,0.5,0.19357693493908812,0.8307334184646606,2.404264450073242,35,gemma2:2b,zero_shot,0.0
8,Кто по мнению искусствоведа Ирина Вакар ввел термин авангард ?,создателем термина был знаменитый художник и критик Александр Бенуа,Александр Бенуа,0.0,0.3636363636363636,1.0,0.2222222222222222,0.030197383422318515,0.6354681253433228,2.257544994354248,15,gemma2:2b,zero_shot,0.0
9,Что применяют в некоторых системах широкоформатного кино наряду с широкой киноплёнкой?,анаморфирование изображения,Анаморфирование изображения.,1.0,1.0,1.0,1.0,0.27516060407455223,0.9625412225723267,2.391960620880127,28,gemma2:2b,zero_shot,0.0
10,Что призваны продемонстрировать кинофестивали?,современные веяния в кинематографе,Современные веяния в кинематографе.,1.0,1.0,1.0,1.0,0.39763536438352537,0.9885299205780029,2.522080659866333,35,gemma2:2b,zero_shot,0.0
11,За счет чего в ряде языков северо-западной зоны прямоугольная система?,наличия непередных неогубленных гласных,Неогубленные гласные [ə] и [ɯ].,0.0,0.0,0.0,0.0,0.0,0.6587942838668823,2.5432536602020264,31,gemma2:2b,zero_shot,0.0
12,Как называется дополнительный билипидный слой вирусов?,суперкапсидом,Суперкапсид,0.0,0.0,0.0,0.0,0.0,0.9293431639671326,2.3560292720794678,11,gemma2:2b,zero_shot,0.0
13,Какая фирма начала разработку сложной конструкции с интегрированными фотореактивами и возможностью немедленного получения позитива?,Agfa,Agfa,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,2.3527445793151855,4,gemma2:2b,zero_shot,0.0
14,Чему соответствует степень доктора философии в США?,российскому кандидату наук:п. 262,Кандидат наук.,0.0,0.0,0.0,0.0,0.09138402379955025,0.6285091638565063,2.424555778503418,14,gemma2:2b,zero_shot,0.0
15,Каким способом человек контактирует с окружением?,воспринимает внешний мир через чувства,Через чувства и опыт.,0.0,0.4444444444444445,0.5,0.4,0.10682175159905853,0.8169002532958984,2.397152900695801,21,gemma2:2b,zero_shot,0.0
16,Инактивация чего происходит когда вещество присоединяется к ферменту не в активном центре?,Его каталитического центра.,Инактивация каталитического центра.,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5946035575013604,0.8795256614685059,2.4331631660461426,35,gemma2:2b,zero_shot,0.0
17,Переход полимера в вязкотекучее состояние не должен сопровождаться чем?,разложением материала термодеструкцией,Разложением материала.,0.0,0.8,1.0,0.6666666666666666,0.27516060407455223,0.6226993203163147,2.3486666679382324,22,gemma2:2b,zero_shot,0.0
18,"Какой из методов является более доказательным, чем другие?",никакой,Нет однозначного ответа.,0.0,0.0,0.0,0.0,0.0,0.5775738954544067,2.3796281814575195,24,gemma2:2b,zero_shot,0.0
19,В каком году участие во втором Чемпионате мира по футболу уже не требовало от итальянцев долгих переездов — решением исполкома ФИФА саму их родину выбрали местом проведения финального турнира?,В 1934.,1934 год.,0.0,0.5,0.5,0.5,0.3466806371753173,0.9919349551200867,2.4065730571746826,9,gemma2:2b,zero_shot,0.0
20,Кто относится к юридически подозреваемым инсайдерам,"Юристы, инвестиционные банкиры и другие лица, получающие конфиденциальную информацию от компаний, для которых они оказывают свои услуги","Юристы, инвестиционные банкиры и др.",0.0,0.3636363636363636,0.8,0.23529411764705882,0.09597952472216763,0.6129878163337708,2.4306459426879883,36,gemma2:2b,zero_shot,0.0
21,На чем основывались мосты с полуциркульными арками?,на римской традиции,**римская архитектура**,0.0,0.0,0.0,0.0,0.0,0.8167497515678406,2.3661935329437256,23,gemma2:2b,zero_shot,0.0
22,За что тренера раскритиковали ?,за неудачные перестановки,За неудачные перестановки.,1.0,1.0,1.0,1.0,0.31947155212313627,0.9064052104949951,2.3876590728759766,26,gemma2:2b,zero_shot,0.0
23,"Какая процедура осуществлена в целях сохранения, развития и оптимизации?",Реорганизация,Присоединение предприятий.,0.0,0.0,0.0,0.0,0.0,0.6791391372680664,2.377656936645508,26,gemma2:2b,zero_shot,0.0
24,На какое число планировался запуск европейского метеорологического космического аппарата MetOp-B?,На 23 мая.,23 мая 2012 года.,0.0,0.5714285714285715,0.5,0.6666666666666666,0.23643540225079396,0.833949625492096,2.4195525646209717,17,gemma2:2b,zero_shot,0.0
25,Как писательница описывала свои произведения?,Детектив был рассказом с моралью,Как детектив с моралью.,0.0,0.6666666666666665,0.75,0.6,0.21364350319811698,0.910757303237915,2.4231581687927246,23,gemma2:2b,zero_shot,0.0
26,Какую часть занимает азот в состав белков?,16—18 % по массе.,16-18 %,0.0,0.5,1.0,0.3333333333333333,0.1244023474812678,0.8421692252159119,2.5089011192321777,7,gemma2:2b,zero_shot,0.0
27,Когда открылся первый в истории коворкинг?,9 августа 2005 года,9 августа 2005 года.,1.0,1.0,1.0,1.0,0.6687403049764218,0.9481967687606812,2.3992762565612793,20,gemma2:2b,zero_shot,0.0
28,Из-за чего бунинский герой кончает жизнь самоубийством?,Из-за мирового счастья ,Из-за мирового счастья.,1.0,1.0,1.0,1.0,0.5946035575013604,0.9895269274711609,2.3959367275238037,23,gemma2:2b,zero_shot,0.0
29,Когда Дилан показал премьеру автобиографического фильма Хроники ?,В октябре 2004 года,Октябрь 2004 года.,0.0,0.5714285714285715,0.6666666666666666,0.5,0.31947155212313627,0.9674961566925049,2.4265358448028564,18,gemma2:2b,zero_shot,0.0
30,Что не учитывает закон Фурье?,инерционность процесса теплопроводности,Инерционность процесса.,0.0,0.8,1.0,0.6666666666666666,0.27516060407455223,0.634905219078064,2.4171688556671143,23,gemma2:2b,zero_shot,0.0
31,"Как называли журналисты ситуацию при которой такие игроки за участие получали приличные суммы денег, но не как гонорары, а как компенсацию расходов на дорогу, проживание и прочие нужды?", лжелюбительством ,Лжелюбительством,1.0,1.0,1.0,1.0,0.0,0.9924017190933228,2.5328407287597656,16,gemma2:2b,zero_shot,0.0
32,Что такое Королевские ботанические сады Кью?,Комплекс ботанических садов и оранжерей,Ботанический сад и оранжерейный комплекс.,0.0,0.4000000000000001,0.4,0.4,0.08116697886877475,0.9402207136154175,2.4917829036712646,41,gemma2:2b,zero_shot,0.0
33,В каком году изобретатель Николя-Жозеф Кюньо продемонстрировал первое действующее самоходное паровое транспортное средство?,В 1769 году,1769 год.,0.0,0.4,0.5,0.3333333333333333,0.27516060407455223,0.9769526720046997,2.4336013793945312,9,gemma2:2b,zero_shot,0.0
34,В каком году Босния и Герцеговина вошла в состав Австро-Венгрии?,В 1878 году.,1878 год.,0.0,0.4,0.5,0.3333333333333333,0.24840753130578644,0.986684262752533,2.43287992477417,9,gemma2:2b,zero_shot,0.0
35,Какие языки можно отнести к слоговым?,китайский или вьетнамский,"Китайский, Вьетнамский",0.0,0.8,1.0,0.6666666666666666,0.0,0.909284234046936,2.3621270656585693,22,gemma2:2b,zero_shot,0.0
36,Как простыми словами дать характеристику аутофагии?,самопоедание,Аутофагия - самопереваривание клетки.,0.0,0.0,0.0,0.0,0.0,0.30412834882736206,2.43088436126709,37,gemma2:2b,zero_shot,0.0
37,Где всё чаще требуется понимание функций мозга?,"в психологической теории и практике, особенно в области искусственного интеллекта, нейропсихологии, и когнитивной нейробиологии.","В психологии, особенно в ИИ.",0.0,0.3157894736842105,0.6,0.21428571428571427,0.054573576835620675,0.7775425314903259,2.4650800228118896,28,gemma2:2b,zero_shot,0.0
38,В каком году слово astronautique (с фр. — астронавтика ) появилось в книге Жозефа Рони-старшего Les Navigateurs de l’Infini (с фр. — Навигаторы бесконечности )?,В 1925,1925 год,0.0,0.5,0.5,0.5,0.49999999999999994,0.9936560392379761,2.4480843544006348,8,gemma2:2b,zero_shot,0.0
39,В какие годы стали закрываться троллейбусные сети?,в 60-е годы,60-е годы.,0.0,0.8,1.0,0.6666666666666666,0.6687403049764218,0.9822106957435608,2.4152963161468506,10,gemma2:2b,zero_shot,0.0
40,В каких городах США получали права поддерживать порядок?,Панама и Колон,"Колони, Колон.",0.0,0.4,0.5,0.3333333333333333,0.1597357760615681,0.5661091804504395,2.404479742050171,14,gemma2:2b,zero_shot,0.0
41,Какая в в Восточной среднегодовая температура ?,от -5 до 10 C,От -5 до 10 C.,1.0,1.0,1.0,1.0,0.5081327481546147,0.9844379425048828,2.4009108543395996,14,gemma2:2b,zero_shot,0.0
42,В каком году бал АЛТ был перенесен на субботу?,В 1977,1977 год.,0.0,0.5,0.5,0.5,0.27516060407455223,0.9754126667976379,2.370835304260254,9,gemma2:2b,zero_shot,0.0
43,Какая страна начала экспансию в Индии после войны 1756-1763 годов?,Британия,Британия.,1.0,1.0,1.0,1.0,0.49999999999999994,0.976308286190033,2.4185845851898193,9,gemma2:2b,zero_shot,0.0
44,"Какие химикалии добавляются к бюллетеням, чтобы дым был белым?","смесь бертолетовой соли, лактозы и канифоли","Лактоза, канифола, бертолетовая соль.",0.0,0.0,0.0,0.0,0.06567274736060395,0.9375050067901611,2.4766435623168945,37,gemma2:2b,zero_shot,0.0
45,От чего не зависит или слабо зависит скорость накопления мутаций в данном гене?,от действия естественного отбора,**Естественный отбор.**,0.0,0.0,0.0,0.0,0.0,0.6680055856704712,2.4405667781829834,23,gemma2:2b,zero_shot,0.0
46,Что подразумевала музыкальная комедия?,Лёгкое развлекательное представление.,Лёгкое развлекательное представление с вокальными номерами.,0.0,0.6666666666666666,0.5,1.0,0.26269098944241587,0.6039121150970459,2.4522857666015625,59,gemma2:2b,zero_shot,0.0
47,Что позволяет сделать вторая космическая скорость?,преодолеть гравитационное притяжение,**Преодоление гравитационного притяжения.**,0.0,0.0,0.0,0.0,0.0,0.9151166081428528,2.4670827388763428,43,gemma2:2b,zero_shot,0.0
48,Чем определены видовые характеристики менеджмента?,специфическими условиями конкретного производства,Специфическими условиями конкретного производства.,1.0,1.0,1.0,1.0,0.39763536438352537,0.9802097678184509,2.451057195663452,50,gemma2:2b,zero_shot,0.0
49,Тепловой двигатель (внутреннего или внешнего сгорания) питает его как?,через тяговый электрогенератор,Через тяговый электрогенератор.,1.0,1.0,1.0,1.0,0.31947155212313627,0.9834202527999878,2.3989858627319336,31,gemma2:2b,zero_shot,0.0
